demographic_category	data_type	phenotype_description	historical_id	source_snomed_codes	search_strategy	entity_type_used	biomapper_curie	biomapper_name	biomapper_kg_id	confidence_score
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Latin/South American (e.g. Argentinean, Brazilian, Costa Rican, Mexican)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Latin/South American (e.g. Argentinean, Brazilian, Costa Rican, Mexican)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / North American (e.g. American, Canadian)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / North American (e.g. American, Canadian)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Northern European (e.g. Danish, Finnish, Icelandic, Norwegian, Swedish)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Northern European (e.g. Danish, Finnish, Icelandic, Norwegian, Swedish)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Pacific Islands (e.g. Fijian, Polynesian, Hawaiian, Maori)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Pacific Islands (e.g. Fijian, Polynesian, Hawaiian, Maori)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / South African		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / South African		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / South Asian (e.g. Bangladeshi, Bengali, East Indian, Pakistani, Sri Lankan)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / South Asian (e.g. Bangladeshi, Bengali, East Indian, Pakistani, Sri Lankan)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Southern European (e.g. Bulgarian, Cypriot, Greek, Italian, Spanish, former Yugoslavia)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Southern European (e.g. Bulgarian, Cypriot, Greek, Italian, Spanish, former Yugoslavia)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / West Asian (e.g., Afghan, Armenian, Iranian, Israeli, Kurdish, Turkish)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / West Asian (e.g., Afghan, Armenian, Iranian, Israeli, Kurdish, Turkish)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Western European (e.g. Austrian, Dutch, Belgian, German, Swiss)		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Western European (e.g. Austrian, Dutch, Belgian, German, Swiss)		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? Other		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? Other		
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? Other, specify		SNOMEDCT:364699009;SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? Other, specify		
Race / Ethnicity	Self-reported	Which category best describes your ethnic group or background.		SNOMEDCT:364699009	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364699009	Which category best describes your ethnic group or background.		
Race / Ethnicity	Self-reported	Which category best describes your ethnic group or background?		SNOMEDCT:397731000;SNOMEDCT:186747009	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:397731000	Which category best describes your ethnic group or background?		
Race / Ethnicity	Self-reported	Which of the following best describes your ethnic origin?		SNOMEDCT:397731000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:397731000	Which of the following best describes your ethnic origin?		
Education	Self-reported	What is the highest academic/educational qualification (or its nearest equivalent), that you have received?		SNOMEDCT:105421008;SNOMEDCT:365461001	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:105421008	What is the highest academic/educational qualification (or its nearest equivalent), that you have received?	UMLS:C0013658	
Education	Self-reported	What is the highest education qualification of your father?		SNOMEDCT:105421008;SNOMEDCT:365461001	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:105421008	What is the highest education qualification of your father?	UMLS:C0013658	
Education	Self-reported	What is the highest education qualification of your mother?		SNOMEDCT:105421008;SNOMEDCT:365461001	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:105421008	What is the highest education qualification of your mother?	UMLS:C0013658	
Education	Self-reported	At what age did you finish full time education?		SNOMEDCT:276031006;SNOMEDCT:365461001	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:276031006	At what age did you finish full time education?	UMLS:C0424927	
Education	Self-reported	At what age did you finish continuous full-time education? \ years		SNOMEDCT:276031006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:276031006	At what age did you finish continuous full-time education? \ years	UMLS:C0424927	
Education	Self-reported	At what age did you finish or stop full-time education?		SNOMEDCT:276031006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:276031006	At what age did you finish or stop full-time education?	UMLS:C0424927	
Education	Self-reported	At what age did you finish or stop full-time education? Not finished yet		SNOMEDCT:276031006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:276031006	At what age did you finish or stop full-time education? Not finished yet	UMLS:C0424927	
Education	Self-reported	I am still in full-time education		SNOMEDCT:276031006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:276031006	I am still in full-time education	UMLS:C0424927	
Marital / Relationship Status	Self-reported	Are you currently married or in a relationship?		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	Are you currently married or in a relationship?	UMLS:C0024819	
Marital / Relationship Status	Self-reported	Are you currently married?		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	Are you currently married?	UMLS:C0024819	
Marital / Relationship Status	Self-reported	Is your relationship status different from ten years ago?		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	Is your relationship status different from ten years ago?	UMLS:C0024819	
Marital / Relationship Status	Self-reported	What is your current marital status?		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	What is your current marital status?	UMLS:C0024819	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Divorced		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	What is your current relationship status? (please click on more than one answer, if applicable)  Divorced	UMLS:C0024819	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  In a relationship, living together		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	What is your current relationship status? (please click on more than one answer, if applicable)  In a relationship, living together	UMLS:C0024819	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  In a relationship, not living together		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	What is your current relationship status? (please click on more than one answer, if applicable)  In a relationship, not living together	UMLS:C0024819	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Married		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	What is your current relationship status? (please click on more than one answer, if applicable)  Married	UMLS:C0024819	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Separated		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	What is your current relationship status? (please click on more than one answer, if applicable)  Separated	UMLS:C0024819	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Single, but dating someone		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	What is your current relationship status? (please click on more than one answer, if applicable)  Single, but dating someone	UMLS:C0024819	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Single, not seeing anyone		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	What is your current relationship status? (please click on more than one answer, if applicable)  Single, not seeing anyone	UMLS:C0024819	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Widowed		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	What is your current relationship status? (please click on more than one answer, if applicable)  Widowed	UMLS:C0024819	
Marital / Relationship Status	Self-reported	What is your marital status?		SNOMEDCT:125680007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:125680007	What is your marital status?	UMLS:C0024819	
Marital / Relationship Status	Self-reported	Has your relationship status changed as a direct result of COVID-19 related isolation measures?		SNOMEDCT:365581002;SNOMEDCT:186747009	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:365581002	Has your relationship status changed as a direct result of COVID-19 related isolation measures?	SNOMEDCT:365581002	
Marital / Relationship Status	Self-reported	Has your relationship status changes in the last 6 months?		SNOMEDCT:365581002;SNOMEDCT:186747009	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:365581002	Has your relationship status changes in the last 6 months?	SNOMEDCT:365581002	
Marital / Relationship Status	Self-reported	What is your relationship status?		SNOMEDCT:365581002;SNOMEDCT:186747009	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:365581002	What is your relationship status?	SNOMEDCT:365581002	
Marital / Relationship Status	Self-reported	Are you currently living with a spouse or partner		SNOMEDCT:38070000;SNOMEDCT:224130005	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:38070000	Are you currently living with a spouse or partner		
Marital / Relationship Status	Self-reported	What is your marital status?	P002888		phenotype_description	biolink:PhenotypicFeature	UMLS:C0024819	What is your marital status?	UMLS:C0024819	0.7847400680749098
Employment Status	Self-reported	What best describes your main occupation throughout most of your life?		SNOMEDCT:14679004;SNOMEDCT:6300007;SNOMEDCT:15188001;SNOMEDCT:252577008	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:14679004	What best describes your main occupation throughout most of your life?	MESH:D009790	
Employment Status	Self-reported	Do you currently work? Full-time or part-time		SNOMEDCT:224362002	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:224362002	Do you currently work? Full-time or part-time	EFO:0005241	
Employment Status	Self-reported	Which one of these best describes your current working situation? Select one only. If you are doing more than one of these, please choose the one you spend the most time doing.		SNOMEDCT:224362002	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:224362002	Which one of these best describes your current working situation? Select one only. If you are doing more than one of these, please choose the one you spend the most time doing.	EFO:0005241	
Employment Status	Self-reported	Have you ever been in paid employment or self-employment, full or part-time?		SNOMEDCT:364703007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364703007	Have you ever been in paid employment or self-employment, full or part-time?	UMLS:C1286384	
Employment Status	Self-reported	What is your present occupation?		SNOMEDCT:364703007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364703007	What is your present occupation?	UMLS:C1286384	
Employment Status	Self-reported	Which of the following describes your current employment status?		SNOMEDCT:364703007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364703007	Which of the following describes your current employment status?	UMLS:C1286384	
Employment Status	Self-reported	Which of the following describes your paid work activity last week?		SNOMEDCT:364703007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364703007	Which of the following describes your paid work activity last week?	UMLS:C1286384	
Employment Status	Self-reported	Select the description that best describes the sort of work you do. If you are not working now, please select what you did in your last job.		SNOMEDCT:719701000000106;SNOMEDCT:14679004	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:719701000000106	Select the description that best describes the sort of work you do. If you are not working now, please select what you did in your last job.		
Income / Deprivation	Self-reported	Please estimate in which band is your total yearly household income before taxes. Includes all those who earn and live in the same household as yourself.		SNOMEDCT:224168007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:224168007	Please estimate in which band is your total yearly household income before taxes. Includes all those who earn and live in the same household as yourself.	UMLS:C0557163	
Income / Deprivation	Self-reported	Please indicate in which band is your total yearly household income before taxes. (This includes all those who earn and live in the same household as yourself.)		SNOMEDCT:224168007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:224168007	Please indicate in which band is your total yearly household income before taxes. (This includes all those who earn and live in the same household as yourself.)	UMLS:C0557163	
Income / Deprivation	Self-reported	What is the yearly total income before tax received by your household?		SNOMEDCT:224168007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:224168007	What is the yearly total income before tax received by your household?	UMLS:C0557163	
Income / Deprivation	Self-reported	What was yearly total income before tax received by your family (household) during your childhood?		SNOMEDCT:224168007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:224168007	What was yearly total income before tax received by your family (household) during your childhood?	UMLS:C0557163	
Income / Deprivation	Self-reported	What are your normal earnings in your job before any taxes and other deductions?		SNOMEDCT:365552003;SNOMEDCT:224168007	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:365552003	What are your normal earnings in your job before any taxes and other deductions?	UMLS:C1287209	
Income / Deprivation	Other dataset	Other Datasets: DS00050: Index of Multiple Deprivation		SNOMEDCT:386409003	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:386409003	Other Datasets: DS00050: Index of Multiple Deprivation		
Height (Measured)	Measurements	Measured standing height at examination		SNOMEDCT:50373000;SNOMEDCT:248333004	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:50373000	Measured standing height at examination	EFO:0004339	
Height (Self-reported)	Self-reported	What has been your maximum adult height? (the tallest you have been since turning 18) Centimetres		SNOMEDCT:248333004;SNOMEDCT:1153637007	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:248333004	What has been your maximum adult height? (the tallest you have been since turning 18) Centimetres		
Height (Self-reported)	Self-reported	What is your current height? (Only one measurement type is required) \ Don't know		SNOMEDCT:50373000;SNOMEDCT:248333004	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:50373000	What is your current height? (Only one measurement type is required) \ Don't know	EFO:0004339	
Height (Self-reported)	Self-reported	What is your current height? (Only one measurement type is required) \ feet		SNOMEDCT:50373000;SNOMEDCT:248333004	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:50373000	What is your current height? (Only one measurement type is required) \ feet	EFO:0004339	
Height (Self-reported)	Self-reported	What is your current height? (Only one measurement type is required) \ inches		SNOMEDCT:50373000;SNOMEDCT:248333004	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:50373000	What is your current height? (Only one measurement type is required) \ inches	EFO:0004339	
Height (Self-reported)	Self-reported	What is your current height? \ centimetres		SNOMEDCT:50373000;SNOMEDCT:248333004	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:50373000	What is your current height? \ centimetres	EFO:0004339	
Weight (Measured)	Measurements	Measured weight at examination		SNOMEDCT:363808001;SNOMEDCT:27113001	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:363808001	Measured weight at examination		
Weight (Self-reported)	Self-reported	What has been your maximum adult weight? (the most you have weighed since turning 18, not including pregnancy ) Kilograms		SNOMEDCT:363808001;SNOMEDCT:27113001;SNOMEDCT:852321000000100	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:363808001	What has been your maximum adult weight? (the most you have weighed since turning 18, not including pregnancy ) Kilograms		
Weight (Self-reported)	Self-reported	What has been your maximum lifetime weight, excluding pregnancy? \ Kilograms		SNOMEDCT:363808001;SNOMEDCT:27113001;SNOMEDCT:852321000000100	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:363808001	What has been your maximum lifetime weight, excluding pregnancy? \ Kilograms		
Weight (Self-reported)	Self-reported	What has been your minimum adult weight (i.e. your lowest weight since age 18)? \ Kilograms		SNOMEDCT:363808001;SNOMEDCT:27113001;SNOMEDCT:852311000000106	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:363808001	What has been your minimum adult weight (i.e. your lowest weight since age 18)? \ Kilograms		
Weight (Self-reported)	Self-reported	What is your current weight? (Only one measurement type is required) \ Don't know		SNOMEDCT:363808001;SNOMEDCT:27113001	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:363808001	What is your current weight? (Only one measurement type is required) \ Don't know		
Weight (Self-reported)	Self-reported	What is your current weight? (Only one measurement type is required) \ pounds		SNOMEDCT:363808001;SNOMEDCT:27113001	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:363808001	What is your current weight? (Only one measurement type is required) \ pounds		
Weight (Self-reported)	Self-reported	What is your current weight? (Only one measurement type is required) \ stones		SNOMEDCT:363808001;SNOMEDCT:27113001	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:363808001	What is your current weight? (Only one measurement type is required) \ stones		
Weight (Self-reported)	Self-reported	What is your current weight? \ kilograms		SNOMEDCT:363808001;SNOMEDCT:27113001	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:363808001	What is your current weight? \ kilograms		
BMI	Measurements	DEXA: Total body mass divided by height squared (BMI)		SNOMEDCT:241686001	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:241686001	DEXA: Total body mass divided by height squared (BMI)		
Waist Circumference	Self-reported	What is your current waist measurement? (Please measure around your body, just above your belly button. Note this is not necessarily your trouser size)/ centimetres		SNOMEDCT:276361009	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:276361009	What is your current waist measurement? (Please measure around your body, just above your belly button. Note this is not necessarily your trouser size)/ centimetres	EFO:0004342	
Waist Circumference	Measurements	Measured waist circumference		SNOMEDCT:445396007	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:445396007	Measured waist circumference		
Hip Circumference	Measurements	Measured hip circumference		SNOMEDCT:284472007	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:284472007	Measured hip circumference	EFO:0005093	
Blood Pressure	Measurements	Diastolic blood pressure third measurement		SNOMEDCT:163035008;SNOMEDCT:75367002	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:163035008	Diastolic blood pressure third measurement		
Blood Pressure	Measurements	Systolic blood pressure first measurement		SNOMEDCT:163035008;SNOMEDCT:75367002	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:163035008	Systolic blood pressure first measurement		
Blood Pressure	Measurements	Diastolic blood pressure		SNOMEDCT:75367002;SNOMEDCT:163035008	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:75367002	Diastolic blood pressure	EFO:0004325	
Blood Pressure	Measurements	Diastolic blood pressure (repeat measurement)		SNOMEDCT:75367002;SNOMEDCT:163035008	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:75367002	Diastolic blood pressure (repeat measurement)	EFO:0004325	
Blood Pressure	Measurements	Diastolic blood pressure first measurement		SNOMEDCT:75367002;SNOMEDCT:163035008	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:75367002	Diastolic blood pressure first measurement	EFO:0004325	
Blood Pressure	Measurements	Diastolic blood pressure second measurement		SNOMEDCT:75367002;SNOMEDCT:163035008	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:75367002	Diastolic blood pressure second measurement	EFO:0004325	
Blood Pressure	Measurements	Systolic blood pressure		SNOMEDCT:75367002;SNOMEDCT:163035008	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:75367002	Systolic blood pressure	EFO:0004325	
Blood Pressure	Measurements	Systolic blood pressure (repeat measurement)		SNOMEDCT:75367002;SNOMEDCT:163035008	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:75367002	Systolic blood pressure (repeat measurement)	EFO:0004325	
Blood Pressure	Measurements	Systolic blood pressure second measurement		SNOMEDCT:75367002;SNOMEDCT:163035008	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:75367002	Systolic blood pressure second measurement	EFO:0004325	
Blood Pressure	Measurements	Systolic blood pressure third measurement		SNOMEDCT:75367002;SNOMEDCT:163035008	phenotype_description	biolink:ClinicalFinding	SNOMEDCT:75367002	Systolic blood pressure third measurement	EFO:0004325	
Birth Country / Place of Birth	Self-reported	What country were you born in?		SNOMEDCT:315354004;SNOMEDCT:366344009	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:315354004	What country were you born in?	UMLS:C1300001	
Birth Country / Place of Birth	Self-reported	Were you born in the British Isles?		SNOMEDCT:315354004;SNOMEDCT:370159000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:315354004	Were you born in the British Isles?	UMLS:C1300001	
Birth Country / Place of Birth	Self-reported	Were you born in the United Kingdom?		SNOMEDCT:366344009;SNOMEDCT:315354004	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:366344009	Were you born in the United Kingdom?		
Birth Country / Place of Birth	Self-reported	Country of birth	P001754		phenotype_description	biolink:PhenotypicFeature	GENEPIO:0001094	Country of birth	GENEPIO:0001094	2.436840454990239
Birth Country / Place of Birth	Self-reported	Town of birth	P001753		phenotype_description	biolink:PhenotypicFeature	HP:0001622	Town of birth	HP:0001622	0.7034645500222239
Birth Country / Place of Birth	Self-reported	Where were you born?	P002886		phenotype_description	biolink:PhenotypicFeature	UMLS:C3166752	Where were you born?	UMLS:C3166752	4.851008572530051
Birth Weight	Self-reported	What was your twin's weight at birth? \ kilograms		SNOMEDCT:364589006;SNOMEDCT:147092001;SNOMEDCT:28030000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:364589006	What was your twin's weight at birth? \ kilograms	EFO:0004344	
Birth Weight	Self-reported	What was your weight at birth? \ don't know		SNOMEDCT:47340003;SNOMEDCT:364589006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:47340003	What was your weight at birth? \ don't know	EFO:0004344	
Birth Weight	Self-reported	What was your weight at birth? \ grams		SNOMEDCT:47340003;SNOMEDCT:364589006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:47340003	What was your weight at birth? \ grams	EFO:0004344	
Birth Weight	Self-reported	What was your weight at birth? \ kilograms		SNOMEDCT:47340003;SNOMEDCT:364589006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:47340003	What was your weight at birth? \ kilograms	EFO:0004344	
Birth Weight	Self-reported	What was your weight at birth? \ ounces		SNOMEDCT:47340003;SNOMEDCT:364589006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:47340003	What was your weight at birth? \ ounces	EFO:0004344	
Birth Weight	Self-reported	What was your weight at birth? \ pounds		SNOMEDCT:47340003;SNOMEDCT:364589006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:47340003	What was your weight at birth? \ pounds	EFO:0004344	
Birth Weight	Self-reported	What was your weight at birth?\ Don't know		SNOMEDCT:47340003;SNOMEDCT:364589006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:47340003	What was your weight at birth?\ Don't know	EFO:0004344	
