source_id	source	question	hpo_code	hpo_term	hpo_conf	loinc_code	loinc_term	loinc_conf	agreement
il10k_history_childhood_antibiotics	Israeli10K	Long-term/recurrent antibiotics as child or teenager	HP:0002788	Recurrent upper respiratory tract infections	0.5	NO_MATCH	NO_MATCH	0.85	HPO_ONLY
il10k_pre_pregnancy_genetic_testing	Israeli10K	Pre pregnancy genetic testing	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
il10k_activity_walking_10min_days_weekly	Israeli10K	Number of days/week walked 10+ minutes	NO_MATCH	Question not mappable to medical ontology	0.0	77587-4	During the last 7 days, on how many days did you w	0.85	LOINC_ONLY
il10k_chest_abdomen_pevlis_head_ct_mri_past_year	Israeli10K	Chest / abdomen / pelvis / head CT / MRI examination	HP:0002492	Abnormal corticospinal tract morphology	0.5	NO_MATCH	NO_MATCH	0.95	HPO_ONLY
il10k_health_general_past_year_weight_change	Israeli10K	Weight change compared with 1 year ago	HP:0004323	Abnormality of body weight	0.9	65488-9	Did you gain or lose weight without trying, or did	0.72	BOTH_MATCH
il10k_alcohol_current_with_meals	Israeli10K	Alcohol usually taken with meals	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
il10k_mobile_phone_years	Israeli10K	Length of mobile phone use	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
il10k_family_history_adopted_father_age_passing	Israeli10K	Father's age at death	NO_MATCH	Question not mappable to medical ontology	0.0	54113-6	Age range at death Family member [USSG-FHT]	0.75	LOINC_ONLY
il10k_diet_vegeterian_indicator	Israeli10K	Are you vegeterian?	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.95	BOTH_NO_MATCH
ukbb_2684	UKBB	ACE touchscreen question How many years ago was your last screen?	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_2030	UKBB	ACE touchscreen question Are you often troubled by feelings of guilt?	HP:6000011	Guilt	0.9	NO_MATCH	NO_MATCH	0.75	HPO_ONLY
ukbb_2070	UKBB	ACE touchscreen question Over the past two weeks, how often have you felt tense,	HP:0031943	Akathisia	0.7	65236-2	How often do you feel restless or fidgety [ASRS]	0.75	BOTH_MATCH
ukbb_6773	UKBB	Interval between previous point and current one in alphanumeric path (trail #2).	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_4292	UKBB	Participants were allowed up to 2 attempts to correctly recall the colour/shape 	NO_MATCH	Question not mappable to medical ontology	0.0	103700-1	Recall - blue during assessment period [CMS Assess	0.35	LOINC_ONLY
ukbb_20122	UKBB	This derived data field has come from Professor Jill Pell from the Institute of 	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_6317	UKBB	This is the time that a participant looked at each word/picture group before sel	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_4653	UKBB	ACE touchscreen question Have you ever had a period of time lasting at least two	HP:0000737	Irritability	0.9	71562-3	At any time in your life, have you felt unusually 	0.78	BOTH_MATCH
ukbb_5430	UKBB	ACE touchscreen question What was your age when injury or trauma resulting in lo	HP:0000572	Visual loss	0.9	63932-8	Age at diagnosis	0.45	BOTH_MATCH
ukbb_4022	UKBB	ACE touchscreen question What was your age when the blood clot in the lung was f	HP:0002204	Pulmonary embolism	0.9	63932-8	Age at diagnosis	0.72	BOTH_MATCH
ukbb_5452	UKBB	ACE touchscreen question Does this pain ever begin when you are standing still o	HP:4000182	Positionally dependent pain	0.9	NO_MATCH	NO_MATCH	0.85	HPO_ONLY
ukbb_6492	UKBB	The correct word associated with long was curtains.	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.95	BOTH_NO_MATCH
ukbb_10136	UKBB	This is the number of correct matches in the round. It should always be 3 for a 	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_120	UKBB	Field description available on UK Biobank website	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_20006	UKBB	This is the interpolated time when the participant indicated the corresponding c	NO_MATCH	Question not mappable to medical ontology	0.0	63931-0	Date of diagnosis	0.45	LOINC_ONLY
ukbb_1110	UKBB	ACE touchscreen question For approximately how many years have you been using a 	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_3546	UKBB	ACE touchscreen question How old were you when you last used HRT?	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.95	BOTH_NO_MATCH
ukbb_3486	UKBB	ACE touchscreen question Have you tried to give up smoking?	NO_MATCH	Question not mappable to medical ontology	0.0	63923-7	In the past, have you ever made a serious attempt 	0.85	LOINC_ONLY
ukbb_2267	UKBB	ACE touchscreen question Do you wear sun protection (e.g. sunscreen lotion, hat)	NO_MATCH	Not mappable to HPO	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_10853	UKBB	ACE touchscreen question Why did you stop drinking?	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_3894	UKBB	ACE touchscreen question What was your age when the heart attack was first diagn	HP:0001658	Myocardial infarction	0.9	63932-8	Age at diagnosis	0.72	BOTH_MATCH
ukbb_3710	UKBB	ACE touchscreen question How many days is your usual menstrual cycle? (The numbe	HP:0100608	Metrorrhagia	0.5	NO_MATCH	NO_MATCH	0.85	HPO_ONLY
ukbb_129	UKBB	Place born - north co-ordinate	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_1060	UKBB	ACE touchscreen question In a typical DAY in winter, how many hours do you spend	NO_MATCH	Question not mappable to medical ontology	0.0	63830-4	On a typical weekend day in the summer, about how 	0.55	LOINC_ONLY
ukbb_4067	UKBB	ACE touchscreen question Have you had facial pains for more than 3 months?	HP:0012532	Chronic pain	0.7	NO_MATCH	NO_MATCH	0.85	HPO_ONLY
ukbb_5780	UKBB	Field description available on UK Biobank website	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_4717	UKBB	ACE touchscreen question Do you get short of breath walking with people of your 	HP:0002875	Exertional dyspnea	0.9	89439-4	Do you get short of breath walking with other peop	0.98	BOTH_MATCH
ukbb_5700	UKBB	Field description available on UK Biobank website	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_10139	UKBB	Field description available on UK Biobank website	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_20162	UKBB	Average number of pack-years smoked by an individual each year, over their adult	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_10776	UKBB	ACE touchscreen question What type of bread do you mainly eat?	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_1478	UKBB	ACE touchscreen question Do you add salt to your food? (Do not include salt used	NO_MATCH	Question not mappable to medical ontology	0.0	NO_MATCH	NO_MATCH	0.85	BOTH_NO_MATCH
ukbb_2316	UKBB	ACE touchscreen question In the last year have you ever had wheeze or whistling 	HP:0030828	Wheezing	0.9	62081-5	I was bothered by the amount of time I spent wheez	0.65	BOTH_MATCH
