cluster_id	cluster_size	sources	num_sources	question_id	question_text	source_survey	avg_cluster_similarity
6	4	A,I,U	3	ukbb_4717	ACE touchscreen question Do you get short of breath walking with people of your own age on level ground?	UKBB	0.6866
7	10	A,I,U	3	arivale_72c6c46f5818	Cardiac catheterization	Arivale	0.6815
7	10	A,I,U	3	arivale_c9e68a244e61	Pacemaker or implantable cardiac defibrillator	Arivale	0.6815
7	10	A,I,U	3	arivale_7f41b9eeb670	Cardiac Catheterization	Arivale	0.6815
7	10	A,I,U	3	arivale_931bf5f05cde	Heart Transplantation	Arivale	0.6815
7	10	A,I,U	3	arivale_b32bd141060a	Pacemaker/implantable cardiac defibrillator	Arivale	0.6815
7	10	A,I,U	3	il10k_cardiac_catheterization_results	Cardiac catheterization results	Israeli10K	0.6815
7	10	A,I,U	3	il10k_ct_cd_results	Cardiac ct results	Israeli10K	0.6815
7	10	A,I,U	3	il10k_cardiac_catheterization_past_year	Cardiac Catheterization	Israeli10K	0.6815
7	10	A,I,U	3	il10k_cardiac_ct_past_year	Cardiac CT	Israeli10K	0.6815
7	10	A,I,U	3	ukbb_3079	Participants asked by interviewer if they have a pace-maker before the body impedance measures. Impedance measurement was not performed if they had a pace-maker.	UKBB	0.6815
8	8	A,I,U	3	arivale_7757444b1437	What kind of bread do you usually eat?	Arivale	0.6699
8	8	A,I,U	3	arivale_7ec3f0045604	What do you usually spread on bread?	Arivale	0.6699
8	8	A,I,U	3	arivale_4a53295091ba	Cakes, scones, sweet pies, or pastries	Arivale	0.6699
8	8	A,I,U	3	il10k_diet_bread_intake_choice	Bread intake	Israeli10K	0.6699
8	8	A,I,U	3	il10k_diet_bread_intake_number	Bread intake	Israeli10K	0.6699
8	8	A,I,U	3	il10k_diet_bread_type	Bread type	Israeli10K	0.6699
8	8	A,I,U	3	ukbb_1448	ACE touchscreen question What type of bread do you mainly eat?	UKBB	0.6699
8	8	A,I,U	3	ukbb_10776	ACE touchscreen question What type of bread do you mainly eat?	UKBB	0.6699
9	8	A,I,U	3	arivale_3f1474eccff3	How many packs a day?	Arivale	0.6681
9	8	A,I,U	3	il10k_smoking_current_choice	Number of cigarettes currently smoked daily (current cigarette smokers)	Israeli10K	0.6681
9	8	A,I,U	3	il10k_smoking_current_number	Number of cigarettes currently smoked daily (current cigarette smokers)	Israeli10K	0.6681
9	8	A,I,U	3	il10k_smoking_present_choice_dup	Number of cigarettes currently smoked daily (current cigarette smokers)	Israeli10K	0.6681
9	8	A,I,U	3	il10k_smoking_present_number_dup	Number of cigarettes currently smoked daily (current cigarette smokers)	Israeli10K	0.6681
9	8	A,I,U	3	ukbb_2887	ACE touchscreen question About how many cigarettes did you smoke on average each day?	UKBB	0.6681
9	8	A,I,U	3	ukbb_3456	ACE touchscreen question About how many cigarettes do you smoke on average each day?	UKBB	0.6681
9	8	A,I,U	3	ukbb_6183	ACE touchscreen question About how many cigarettes did you smoke on average each day?	UKBB	0.6681
10	9	A,I,U	3	arivale_29106ed87436	Do you use recreational drugs other than marijuana?	Arivale	0.6625
10	9	A,I,U	3	arivale_be75347b9b3e	What major type of tobacco did you use?	Arivale	0.6625
10	9	A,I,U	3	arivale_78032538b217	What major type of tobacco do you use?	Arivale	0.6625
10	9	A,I,U	3	arivale_869a46c20372	What method do you most commonly use to smoke or consume marijuana?	Arivale	0.6625
10	9	A,I,U	3	arivale_a5a141eed287	What method did you most commonly use to smoke or consume marijuana?	Arivale	0.6625
10	9	A,I,U	3	il10k_smoking_tobacco_type_present	Type of tobacco currently smoked	Israeli10K	0.6625
10	9	A,I,U	3	il10k_smoking_former_tobacco_type	Type of tobacco previously smoked	Israeli10K	0.6625
10	9	A,I,U	3	ukbb_2877	ACE touchscreen question What type of tobacco did you usually smoke?	UKBB	0.6625
10	9	A,I,U	3	ukbb_3446	ACE touchscreen question What type of tobacco do you mainly smoke?	UKBB	0.6625
11	3	A,I,U	3	arivale_b77892f7d867	Psychiatric medications (e.g. antidepressants, anti-anxiety medications, stimulants)	Arivale	0.6541
11	3	A,I,U	3	il10k_health_mental_past_psychiatrist	Seen a psychiatrist for nerves, anxiety, tension or depression	Israeli10K	0.6541
11	3	A,I,U	3	ukbb_2100	ACE touchscreen question Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?	UKBB	0.6541
12	12	A,I,U	3	arivale_a1769ba7338b	How much do you weigh?	Arivale	0.6516
12	12	A,I,U	3	il10k_birth_weight_1	Birth weight 1	Israeli10K	0.6516
12	12	A,I,U	3	il10k_birth_weight_2	Birth weight 2	Israeli10K	0.6516
12	12	A,I,U	3	il10k_birth_weight_3	Birth weight 3	Israeli10K	0.6516
12	12	A,I,U	3	il10k_birth_weight_4	Birth weight 4	Israeli10K	0.6516
12	12	A,I,U	3	il10k_birth_weight_5	Birth weight 5	Israeli10K	0.6516
12	12	A,I,U	3	il10k_birth_weight_6	Birth weight 6	Israeli10K	0.6516
12	12	A,I,U	3	il10k_birth_weight_7	Birth weight 7	Israeli10K	0.6516
12	12	A,I,U	3	il10k_birth_weight_8	Birth weight 8	Israeli10K	0.6516
12	12	A,I,U	3	il10k_birth_weight_9	Birth weight 9	Israeli10K	0.6516
12	12	A,I,U	3	ukbb_2744	ACE touchscreen question What was the birth weight of your first child in pounds? (do not include twins)	UKBB	0.6516
12	12	A,I,U	3	ukbb_20022	Participants were asked to enter their own birth-weight.	UKBB	0.6516
13	10	A,I,U	3	arivale_e18a76d42266	Are you exposed to second-hand smoke?	Arivale	0.639
13	10	A,I,U	3	il10k_smoking_exposure_home	Smoking/smokers in household	Israeli10K	0.639
13	10	A,I,U	3	il10k_smoking_exposure_home_hours_choice	Exposure to tobacco smoke at home	Israeli10K	0.639
13	10	A,I,U	3	il10k_smoking_exposure_home_hours_number	Exposure to tobacco smoke at home	Israeli10K	0.639
13	10	A,I,U	3	il10k_smoking_exposure_outside_choice	Exposure to tobacco smoke outside home	Israeli10K	0.639
13	10	A,I,U	3	il10k_smoking_exposure_outside_hours	Exposure to tobacco smoke outside home	Israeli10K	0.639
13	10	A,I,U	3	ukbb_1259	ACE touchscreen question Does anyone in your household smoke?	UKBB	0.639
13	10	A,I,U	3	ukbb_1269	ACE touchscreen question At home, about how many hours per WEEK are you exposed to other people's tobacco smoke?	UKBB	0.639
13	10	A,I,U	3	ukbb_1279	ACE touchscreen question Outside of your home, about how many hours per WEEK are you exposed to other people's tobacco smoke?	UKBB	0.639
13	10	A,I,U	3	ukbb_2936	ACE touchscreen question Do you think you may start smoking again?	UKBB	0.639
14	3	A,I,U	3	arivale_f79c87bf8b46	Actinic keratosis	Arivale	0.6353
14	3	A,I,U	3	il10k_health_eyes_astigmatism_eye	Which eye(s) affected by astigmatism	Israeli10K	0.6353
14	3	A,I,U	3	ukbb_5855	ACE touchscreen question Which eye(s) are affected by astigmatism?	UKBB	0.6353
15	28	A,I,U	3	arivale_40a827b2f3d7	For how many years have you been using tobacco?	Arivale	0.6244
15	28	A,I,U	3	arivale_3741cade9303	For how many years did you use tobacco?	Arivale	0.6244
15	28	A,I,U	3	arivale_4d21a9f1f54d	For how many years have you been using marijuana?	Arivale	0.6244
15	28	A,I,U	3	arivale_1fd1ed8ca8aa	How often do you use marijuana?	Arivale	0.6244
15	28	A,I,U	3	arivale_3c7777b1518f	For how many years did you use marijuana?	Arivale	0.6244
15	28	A,I,U	3	arivale_398ba55980cd	How often did you use marijuana?	Arivale	0.6244
15	28	A,I,U	3	il10k_smoking_current_age_start_choice	Age started smoking in current smokers	Israeli10K	0.6244
15	28	A,I,U	3	il10k_smoking_current_age_start_number	Age started smoking in current smokers	Israeli10K	0.6244
15	28	A,I,U	3	il10k_smoking_current_cigar_age_stop_choice	Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker)	Israeli10K	0.6244
15	28	A,I,U	3	il10k_smoking_current_cigar_age_stop_number	Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker)	Israeli10K	0.6244
15	28	A,I,U	3	il10k_smoking_present_vs_past	Smoking compared to 10 years previous	Israeli10K	0.6244
15	28	A,I,U	3	il10k_smoking_former_age_start_choice	Age started smoking in former smokers	Israeli10K	0.6244
15	28	A,I,U	3	il10k_smoking_former_age_start_number	Age started smoking in former smokers	Israeli10K	0.6244
15	28	A,I,U	3	il10k_smoking_former_age_stop_choice	Age stopped smoking	Israeli10K	0.6244
15	28	A,I,U	3	il10k_smoking_former_age_stop_number	Age stopped smoking	Israeli10K	0.6244
15	28	A,I,U	3	il10k_smoking_former_stop_6_month	Ever stopped smoking for 6+ months	Israeli10K	0.6244
15	28	A,I,U	3	ukbb_1249	ACE touchscreen question In the past, how often have you smoked tobacco?	UKBB	0.6244
15	28	A,I,U	3	ukbb_2644	ACE touchscreen question In your lifetime, have you smoked a total of at least 100 times?	UKBB	0.6244
15	28	A,I,U	3	ukbb_2867	ACE touchscreen question How old were you when you first started smoking on most days?	UKBB	0.6244
15	28	A,I,U	3	ukbb_2897	ACE touchscreen question How old were you when you last smoked on most days?	UKBB	0.6244
15	28	A,I,U	3	ukbb_2907	ACE touchscreen question In the time that you smoked, did you ever stop for more than 6 months?	UKBB	0.6244
15	28	A,I,U	3	ukbb_3436	ACE touchscreen question How old were you when you first started smoking on most days?	UKBB	0.6244
15	28	A,I,U	3	ukbb_3506	ACE touchscreen question Compared to 10 years ago do you smoke...	UKBB	0.6244
15	28	A,I,U	3	ukbb_6194	ACE touchscreen question How old were you when you last smoked cigarettes on most days?	UKBB	0.6244
15	28	A,I,U	3	ukbb_10827	ACE touchscreen question In the time that you smoked, did you ever stop for more than 6 months?	UKBB	0.6244
15	28	A,I,U	3	ukbb_10895	ACE touchscreen question In your lifetime, have you smoked a total of at least 100 cigarettes or equivalent?	UKBB	0.6244
15	28	A,I,U	3	ukbb_20162	Average number of pack-years smoked by an individual each year, over their adult lifetime, calculated using pack-years data field. Pack years as a proportion of lifespan exposed to smoking is defined ...	UKBB	0.6244
15	28	A,I,U	3	ukbb_2684	ACE touchscreen question How many years ago was your last screen?	UKBB	0.6244
16	12	A,I,U	3	arivale_7187e0f44b80	Do you currently use tobacco?	Arivale	0.6216
16	12	A,I,U	3	arivale_e502e4cc4296	Do you use marijuana?	Arivale	0.6216
16	12	A,I,U	3	arivale_58decd712347	Did you use tobacco in the past?	Arivale	0.6216
16	12	A,I,U	3	arivale_edabffbc9a40	Did you use marijuana in the past?	Arivale	0.6216
16	12	A,I,U	3	il10k_smoking_current_status	Current tobacco smoking	Israeli10K	0.6216
16	12	A,I,U	3	il10k_smoking_past_frequency	Past tobacco smoking	Israeli10K	0.6216
16	12	A,I,U	3	il10k_smoking_stop_tried	Ever tried to stop smoking	Israeli10K	0.6216
16	12	A,I,U	3	il10k_smoking_reduced_why	Why reduced smoking	Israeli10K	0.6216
16	12	A,I,U	3	ukbb_1239	ACE touchscreen question Do you smoke tobacco now?	UKBB	0.6216
16	12	A,I,U	3	ukbb_3486	ACE touchscreen question Have you tried to give up smoking?	UKBB	0.6216
16	12	A,I,U	3	ukbb_20116	This field summarises the current/past smoking status of the participant.	UKBB	0.6216
16	12	A,I,U	3	ukbb_20160	Derived using variables Current tobacco smoking (	UKBB	0.6216
17	19	A,I,U	3	arivale_da46b8152d80	When you do VIGOROUS activities, for how long do you typically do these activities?	Arivale	0.6079
17	19	A,I,U	3	arivale_edb0f1247df6	Do you currently have a membership to a gym or fitness/yoga studio?	Arivale	0.6079
17	19	A,I,U	3	arivale_894e11ce730f	What types of VIGOROUS activities do you typically do?	Arivale	0.6079
17	19	A,I,U	3	arivale_c5a7a9a5fb34	When you do MUSCLE STRENGTHENING activities, for how long do you typically do these activities?	Arivale	0.6079
17	19	A,I,U	3	arivale_1b874dc40590	What types of MUSCLE STRENGTHENING activities do you typically do?	Arivale	0.6079
17	19	A,I,U	3	arivale_66e8872dc8b8	How often do you do STRETCHING/FLEXIBILITY activities (e.g. yoga, balance)?	Arivale	0.6079
17	19	A,I,U	3	arivale_37c9e666ceac	When you do STRETCHING/FLEXIBILITY activities, for how long do you typically do these activities?	Arivale	0.6079
17	19	A,I,U	3	arivale_335cdd685a5b	What types of STRETCHING/FLEXIBILITY activities do you typically do?	Arivale	0.6079
17	19	A,I,U	3	il10k_activity_vigorous_minutes_daily	Duration of vigorous activity	Israeli10K	0.6079
17	19	A,I,U	3	il10k_activity_physical_types	Types of physical activity in last 4 weeks	Israeli10K	0.6079
17	19	A,I,U	3	il10k_activity_other_duration	Duration of other exercises	Israeli10K	0.6079
17	19	A,I,U	3	il10k_activity_diy_light_monthly	Frequency of mild exercise	Israeli10K	0.6079
17	19	A,I,U	3	il10k_activity_diy_light_duration	Duration of mild exercise	Israeli10K	0.6079
17	19	A,I,U	3	il10k_activity_diy_heavy_monthly	Frequency of high exercise	Israeli10K	0.6079
17	19	A,I,U	3	il10k_activity_diy_heavy_duration	Duration of high exercise	Israeli10K	0.6079
17	19	A,I,U	3	ukbb_26306	Estimates the basic visuomotor processing times of a participant (i.e. regardless of the actual cognitive difficulty of the trial).	UKBB	0.6079
17	19	A,I,U	3	ukbb_914	ACE touchscreen question How many minutes did you usually spend doing vigorous activities on a typical DAY?	UKBB	0.6079
17	19	A,I,U	3	ukbb_3647	ACE touchscreen question Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?	UKBB	0.6079
17	19	A,I,U	3	ukbb_10971	ACE touchscreen question How much time do you usually spend doing vigorous physical activities on one of those days?	UKBB	0.6079
18	8	A,I,U	3	arivale_0921a83bfab0	Prostatitis (prostate inflammation)	Arivale	0.6071
18	8	A,I,U	3	arivale_cb471223c42d	Prostate exam	Arivale	0.6071
18	8	A,I,U	3	il10k_chest_abdomen_pevlis_head_ct_mri_past_year	Chest / abdomen / pelvis / head CT / MRI examination	Israeli10K	0.6071
18	8	A,I,U	3	il10k_pap_test_past_year_result	Normal PSA test	Israeli10K	0.6071
18	8	A,I,U	3	il10k_health_cancer_past_prostate_screening	Ever had prostate specific antigen (PSA) test	Israeli10K	0.6071
18	8	A,I,U	3	il10k_health_cancer_past_prostate_screening_years	Time since last prostate specific antigen (PSA) test	Israeli10K	0.6071
18	8	A,I,U	3	ukbb_4288	This is the time between completing the initial prompt and displaying answer. Between the initial prompt and the final challenge, various other tests were done so the time here depends strongly on how...	UKBB	0.6071
18	8	A,I,U	3	ukbb_2365	ACE touchscreen question Have you ever had a blood test for prostate cancer (prostate specific antigen or PSA test)?	UKBB	0.6071
19	3	A,I,U	3	arivale_cd140624ab35	Hip Fracture	Arivale	0.603
19	3	A,I,U	3	il10k_health_pain_past_3_months_hip	Hip pain for 3+ months	Israeli10K	0.603
19	3	A,I,U	3	ukbb_3414	ACE touchscreen question Have you had hip pains for more than 3 months?	UKBB	0.603
20	10	A,I,U	3	arivale_a0d4b0313a7d	Binge eating disorder (BED)	Arivale	0.6001
20	10	A,I,U	3	arivale_29a0e1ac1bee	Insomnia	Arivale	0.6001
20	10	A,I,U	3	arivale_6f094f0a5a68	Other sleep condition	Arivale	0.6001
20	10	A,I,U	3	arivale_1e7356591838	In the past six months, how has lack of sleep affected your productivity, motivation, and ability to concentrate?	Arivale	0.6001
20	10	A,I,U	3	arivale_6462314d0f18	How often do you have trouble falling or staying asleep?	Arivale	0.6001
20	10	A,I,U	3	il10k_sleeping_trouble_past_3_months	Degree bothered by trouble sleeping in the last 3 months	Israeli10K	0.6001
20	10	A,I,U	3	il10k_sleep_insomnia	Sleeplessness / insomnia	Israeli10K	0.6001
20	10	A,I,U	3	il10k_sleep_daytime	Daytime dozing / sleeping	Israeli10K	0.6001
20	10	A,I,U	3	ukbb_1200	ACE touchscreen question Do you have trouble falling asleep at night or do you wake up in the middle of the night?	UKBB	0.6001
20	10	A,I,U	3	ukbb_1220	ACE touchscreen question How likely are you to doze off or fall asleep during the daytime when you don't mean to? (e.g. when working, reading or driving)	UKBB	0.6001
21	12	A,I,U	3	arivale_b323f42b3dcb	Meat (beef, lamb, or pork)	Arivale	0.5997
21	12	A,I,U	3	arivale_90d14bac23d1	Processed meat (e.g. bacon, sausage, hot dogs, etc.)	Arivale	0.5997
21	12	A,I,U	3	arivale_3c5b8d64599e	Poultry (e.g. chicken, turkey, duck, etc.)	Arivale	0.5997
21	12	A,I,U	3	arivale_360fea358e87	Chicken Pox	Arivale	0.5997
21	12	A,I,U	3	il10k_diet_processed_meat_intake	Processed meat intake	Israeli10K	0.5997
21	12	A,I,U	3	il10k_diet_poultry_intake	Poultry intake	Israeli10K	0.5997
21	12	A,I,U	3	il10k_diet_beef_intake	Beef intake	Israeli10K	0.5997
21	12	A,I,U	3	il10k_diet_lamb_intake	Lamb intake	Israeli10K	0.5997
21	12	A,I,U	3	ukbb_1349	ACE touchscreen question How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?	UKBB	0.5997
21	12	A,I,U	3	ukbb_1359	ACE touchscreen question How often do you eat chicken, turkey or other poultry? (Do not count processed meats)	UKBB	0.5997
21	12	A,I,U	3	ukbb_1369	ACE touchscreen question How often do you eat beef? (Do not count processed meats)	UKBB	0.5997
21	12	A,I,U	3	ukbb_1379	ACE touchscreen question How often do you eat lamb/mutton? (Do not count processed meats)	UKBB	0.5997
22	6	A,I,U	3	arivale_815157ba266f	Migraines	Arivale	0.599
22	6	A,I,U	3	arivale_db75005aaa94	Migraine Headaches	Arivale	0.599
22	6	A,I,U	3	il10k_how_often_headache	How often headache	Israeli10K	0.599
22	6	A,I,U	3	il10k_headaches_past_3_months	Degree bothered by headaches in the last 3 months	Israeli10K	0.599
22	6	A,I,U	3	il10k_health_pain_past_3_months_headache	Headaches for 3+ months	Israeli10K	0.599
22	6	A,I,U	3	ukbb_3799	ACE touchscreen question Have you had headaches for more than 3 months?	UKBB	0.599
23	7	A,I,U	3	arivale_fc1f975515ad	Ovarian cancer	Arivale	0.5985
23	7	A,I,U	3	arivale_292b7024bbf9	Hysterectomy/oophorectomy	Arivale	0.5985
23	7	A,I,U	3	il10k_hysterectomy_year	Hysterectomy year	Israeli10K	0.5985
23	7	A,I,U	3	il10k_oophorectomy_year	Oophorectomy year	Israeli10K	0.5985
23	7	A,I,U	3	ukbb_2824	ACE touchscreen question How old were you when you had your hysterectomy?	UKBB	0.5985
23	7	A,I,U	3	ukbb_3591	ACE touchscreen question Have you had a hysterectomy (womb removed)?	UKBB	0.5985
23	7	A,I,U	3	ukbb_3882	ACE touchscreen question How old were you when you had BOTH ovaries removed?	UKBB	0.5985
24	6	A,I,U	3	arivale_5e385a618859	Fresh fruit	Arivale	0.5968
24	6	A,I,U	3	arivale_6e8bad147b51	100% fruit juice	Arivale	0.5968
24	6	A,I,U	3	il10k_diet_fruit_fresh_intake_choice	Fresh fruit daily intake	Israeli10K	0.5968
24	6	A,I,U	3	il10k_diet_fruit_fresh_intake_number	Fresh fruit daily intake	Israeli10K	0.5968
24	6	A,I,U	3	ukbb_6547	The correct word associated with new was plant.	UKBB	0.5968
24	6	A,I,U	3	ukbb_4957	ACE touchscreen question Bud is to Flower as Child is to?. Part 3 of Fluid Intelligence test.	UKBB	0.5968
25	3	A,I,U	3	arivale_f930e5a7f8fb	Tendinopathy (e.g. achilles tendinopathy)	Arivale	0.5938
25	3	A,I,U	3	il10k_health_legs_calfs_pain	Leg pain in calf/calves	Israeli10K	0.5938
25	3	A,I,U	3	ukbb_5463	ACE touchscreen question Do you get this pain in your calf (calves)?	UKBB	0.5938
26	3	A,I,U	3	arivale_12c937f921fd	How often do you do MUSCLE STRENGTHENING activities (e.g. weight training, sit-ups, push-ups)?	Arivale	0.5933
26	3	A,I,U	3	il10k_activity_other_monthly	Frequency of other exercises in last 4 weeks	Israeli10K	0.5933
26	3	A,I,U	3	ukbb_3637	ACE touchscreen question How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?	UKBB	0.5933
27	7	A,I,U	3	arivale_8d7b1ad662f4	I take probiotic supplements/eat fermented foods	Arivale	0.5927
27	7	A,I,U	3	arivale_e509afffde3f	HIV	Arivale	0.5927
27	7	A,I,U	3	arivale_6126aa7eb6f8	Antibiotics	Arivale	0.5927
27	7	A,I,U	3	il10k_history_childhood_antibiotics	Long-term/recurrent antibiotics as child or teenager	Israeli10K	0.5927
27	7	A,I,U	3	il10k_triple_antibiotic_treatment_yn	Triple antibiotic treatment	Israeli10K	0.5927
27	7	A,I,U	3	il10k_uti_treatment_antibiotics	Regular antibiotic use or relating to sexual intercourse	Israeli10K	0.5927
27	7	A,I,U	3	ukbb_6671	Number of antibiotics taken	UKBB	0.5927
28	3	A,I,U	3	arivale_d7e3c1a5bd30	Other heritable (Mendelian) disorder	Arivale	0.5903
28	3	A,I,U	3	il10k_health_mental_past_two_week_depression_frequency	Frequency of depressed mood in last 2 weeks	Israeli10K	0.5903
28	3	A,I,U	3	ukbb_20124	Probable recurrent major depression (moderate).	UKBB	0.5903
29	4	A,I,U	3	arivale_eb6e7093291e	Oil rich fish (e.g. salmon, tuna, anchovies, etc.)	Arivale	0.588
29	4	A,I,U	3	il10k_diet_oily_fish_intake	Oily fish intake	Israeli10K	0.588
29	4	A,I,U	3	il10k_diet_non_oily_fish_intake	Non oily fish intake	Israeli10K	0.588
29	4	A,I,U	3	ukbb_1329	ACE touchscreen question How often do you eat oily fish? (e.g. sardines, salmon, mackerel, herring)	UKBB	0.588
30	6	A,I,U	3	arivale_762226298c44	Do you have a high appetite and/or overeat?	Arivale	0.588
30	6	A,I,U	3	arivale_8a1a9a7c2b59	Do you have a poor appetite and/or skip meals?	Arivale	0.588
30	6	A,I,U	3	arivale_5fda2e0dab7e	I feel I have a great deal of energy.	Arivale	0.588
30	6	A,I,U	3	arivale_8415249413a9	I feel rundown and don't have much energy.	Arivale	0.588
30	6	A,I,U	3	il10k_mlhfq_fatigue	Do you feel tired, weak, have low energy?	Israeli10K	0.588
30	6	A,I,U	3	ukbb_2080	ACE touchscreen question Over the past two weeks, how often have you felt tired or had little energy?	UKBB	0.588
31	6	A,I,U	3	arivale_e58f4164082a	Other Musculoskeletal Injury	Arivale	0.5836
31	6	A,I,U	3	arivale_4d62014d21dd	Concussion or traumatic brain injury	Arivale	0.5836
31	6	A,I,U	3	arivale_b9b6a62765d6	Ligament injuries (e.g. ACL tear or rupture)	Arivale	0.5836
31	6	A,I,U	3	il10k_fmri_results	Brain imaging (CT or MRI) results	Israeli10K	0.5836
31	6	A,I,U	3	il10k_health_eyes_injury_trauma_eye	Which eye(s) affected by injury or trauma resulting in loss of vision	Israeli10K	0.5836
31	6	A,I,U	3	ukbb_5419	ACE touchscreen question Which eye(s) are affected by injury or trauma resulting in loss of vision?	UKBB	0.5836
32	9	A,I,U	3	arivale_c40e6acd5002	Fibromyalgia	Arivale	0.5833
32	9	A,I,U	3	arivale_2224d17bff1f	Back pain or back problems	Arivale	0.5833
32	9	A,I,U	3	arivale_584323a14056	Fibromyalgia	Arivale	0.5833
32	9	A,I,U	3	arivale_85c1a8b6f8fc	Back pain or joint pain	Arivale	0.5833
32	9	A,I,U	3	il10k_back_pain_past_3_months	Degree bothered by back pain in the past 3 months	Israeli10K	0.5833
32	9	A,I,U	3	il10k_legs_joint_pain_past_3_months	Degree bothered by pain in arms/legs/joints in the past 3 months	Israeli10K	0.5833
32	9	A,I,U	3	il10k_health_pain_types_past_month	Pain type(s) experienced in last month	Israeli10K	0.5833
32	9	A,I,U	3	il10k_health_pain_past_3_months_back	Back pain for 3+ months	Israeli10K	0.5833
32	9	A,I,U	3	ukbb_3571	ACE touchscreen question Have you had back pains for more than 3 months?	UKBB	0.5833
33	8	A,I,U	3	arivale_e72b763a9b7e	Restless leg syndrome	Arivale	0.5832
33	8	A,I,U	3	il10k_leg_pain_stops_with_rest	Leg pain stops with rest	Israeli10K	0.5832
33	8	A,I,U	3	il10k_health_legs_pain_walking	Leg pain on walking	Israeli10K	0.5832
