demographic_category	data_type	phenotype_description	historical_id	source_snomed_codes	resolution_method	kraken_curie	kraken_name	kraken_category	kraken_snomed_codes	candidates_with_snomed	top_snomed_candidate	confidence	matched_snomed
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Latin/South American (e.g. Argentinean, Brazilian, Costa Rican, Mexican)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C0025884	Mexican Americans (ethnicity)	biolink:PopulationOfIndividualOrganisms		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / North American (e.g. American, Canadian)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C0596070	American Ethnicity	biolink:PopulationOfIndividualOrganisms		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Northern European (e.g. Danish, Finnish, Icelandic, Norwegian, Swedish)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Pacific Islands (e.g. Fijian, Polynesian, Hawaiian, Maori)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C5690792	Asian American Native Hawaiian and Pacific Islander	biolink:PopulationOfIndividualOrganisms		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / South African		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / South Asian (e.g. Bangladeshi, Bengali, East Indian, Pakistani, Sri Lankan)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C0422784	Bangladeshi (ethnic group)	biolink:PopulationOfIndividualOrganisms		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Southern European (e.g. Bulgarian, Cypriot, Greek, Italian, Spanish, former Yugoslavia)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / West Asian (e.g., Afghan, Armenian, Iranian, Israeli, Kurdish, Turkish)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? / Western European (e.g. Austrian, Dutch, Belgian, German, Swiss)		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4735577	Cholesterol Levels: What You Need to Know	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? Other		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4528715	As Good as Others	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	For as many as you know, what are the ancestral ethnic groups of your biological parents and grandparents? Other, specify		SNOMEDCT:364699009;SNOMEDCT:397731000	hybrid_search	UMLS:C4528715	As Good as Others	biolink:PhenotypicFeature		0		medium-high	
Race / Ethnicity	Self-reported	Which category best describes your ethnic group or background.		SNOMEDCT:364699009	hybrid_search	UMLS:C5441552	Ethnic Groups	biolink:PopulationOfIndividualOrganisms		0		medium-high	
Race / Ethnicity	Self-reported	Which category best describes your ethnic group or background?		SNOMEDCT:397731000;SNOMEDCT:186747009	hybrid_search	UMLS:C5441552	Ethnic Groups	biolink:PopulationOfIndividualOrganisms		0		medium-high	
Race / Ethnicity	Self-reported	Which of the following best describes your ethnic origin?		SNOMEDCT:397731000	hybrid_search	UMLS:C0680174	ethnic	biolink:PhenotypicFeature		0		medium-high	
Education	Self-reported	What is the highest academic/educational qualification (or its nearest equivalent), that you have received?		SNOMEDCT:105421008;SNOMEDCT:365461001	hybrid_search	UMLS:C3258351	What is the highest grade or level of schooling you completed	biolink:Publication		0		low	
Education	Self-reported	What is the highest education qualification of your father?		SNOMEDCT:105421008;SNOMEDCT:365461001	hybrid_search	UMLS:C3639495	MMSE - What Is the Month of Year	biolink:Publication		0		low	
Education	Self-reported	What is the highest education qualification of your mother?		SNOMEDCT:105421008;SNOMEDCT:365461001	hybrid_search	UMLS:C3639495	MMSE - What Is the Month of Year	biolink:Publication		0		low	
Education	Self-reported	At what age did you finish full time education?		SNOMEDCT:276031006;SNOMEDCT:365461001	hybrid_search	EFO:0004703	age at menarche	biolink:PhenotypicFeature	SNOMEDCT:398700009;SNOMEDCT:364314008	1	rank:1|EFO:0004703|SNOMEDCT:398700009;SNOMEDCT:364314008	medium-high	
Education	Self-reported	At what age did you finish continuous full-time education? \ years		SNOMEDCT:276031006	hybrid_search	EFO:0004703	age at menarche	biolink:PhenotypicFeature	SNOMEDCT:398700009;SNOMEDCT:364314008	1	rank:1|EFO:0004703|SNOMEDCT:398700009;SNOMEDCT:364314008	medium-high	
Education	Self-reported	At what age did you finish or stop full-time education?		SNOMEDCT:276031006	hybrid_search	EFO:0004703	age at menarche	biolink:PhenotypicFeature	SNOMEDCT:398700009;SNOMEDCT:364314008	2	rank:1|EFO:0004703|SNOMEDCT:398700009;SNOMEDCT:364314008	medium-high	
Education	Self-reported	At what age did you finish or stop full-time education? Not finished yet		SNOMEDCT:276031006	hybrid_search	UMLS:C4528316	Age at Full-Time Use	biolink:PhenotypicFeature		0		medium-high	
Education	Self-reported	I am still in full-time education		SNOMEDCT:276031006	hybrid_search	UMLS:C4035866	Still in Hospital	biolink:PhenotypicFeature		1	rank:9|UMLS:C0682295|SNOMEDCT:160903007	medium-high	
Marital / Relationship Status	Self-reported	Are you currently married or in a relationship?		SNOMEDCT:125680007	hybrid_search	UMLS:C0555047	Married (finding)	biolink:PhenotypicFeature	SNOMEDCT:87915002	1	rank:6|UMLS:C0555047|SNOMEDCT:87915002	medium-high	
Marital / Relationship Status	Self-reported	Are you currently married?		SNOMEDCT:125680007	hybrid_search	UMLS:C0555047	Married (finding)	biolink:PhenotypicFeature	SNOMEDCT:87915002	1	rank:9|UMLS:C0555047|SNOMEDCT:87915002	medium-high	
Marital / Relationship Status	Self-reported	Is your relationship status different from ten years ago?		SNOMEDCT:125680007	hybrid_search	UMLS:C4086544	Life Expectancy Less than Ten Years	biolink:PhenotypicFeature		0		medium-high	
Marital / Relationship Status	Self-reported	What is your current marital status?		SNOMEDCT:125680007	hybrid_search	UMLS:C0024819	Marital Status	biolink:PhenotypicFeature	SNOMEDCT:125680007	1	rank:1|UMLS:C0024819|SNOMEDCT:125680007	medium-high	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Divorced		SNOMEDCT:125680007	hybrid_search	UMLS:C4745098	Current Reformed Smoker, More than 15 Years	biolink:PhenotypicFeature		0		medium-high	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  In a relationship, living together		SNOMEDCT:125680007	hybrid_search	UMLS:C0871235	Relationship Termination	biolink:Behavior		0		medium-high	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  In a relationship, not living together		SNOMEDCT:125680007	hybrid_search	UMLS:C0871235	Relationship Termination	biolink:Behavior		0		medium-high	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Married		SNOMEDCT:125680007	hybrid_search	UMLS:C4745098	Current Reformed Smoker, More than 15 Years	biolink:PhenotypicFeature		0		medium-high	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Separated		SNOMEDCT:125680007	hybrid_search	UMLS:C4745098	Current Reformed Smoker, More than 15 Years	biolink:PhenotypicFeature		0		medium-high	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Single, but dating someone		SNOMEDCT:125680007	hybrid_search	UMLS:C1883049	smoker, current status unknown	biolink:PhenotypicFeature		0		medium-high	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Single, not seeing anyone		SNOMEDCT:125680007	hybrid_search	UMLS:C5204715	Performance Status Scale Timing Not Applicable	biolink:PhenotypicFeature		0		medium-high	
Marital / Relationship Status	Self-reported	What is your current relationship status? (please click on more than one answer, if applicable)  Widowed		SNOMEDCT:125680007	hybrid_search	UMLS:C4745098	Current Reformed Smoker, More than 15 Years	biolink:PhenotypicFeature		0		medium-high	
Marital / Relationship Status	Self-reported	What is your marital status?		SNOMEDCT:125680007	hybrid_search	UMLS:C0024819	Marital Status	biolink:PhenotypicFeature	SNOMEDCT:125680007	1	rank:1|UMLS:C0024819|SNOMEDCT:125680007	medium-high	
Marital / Relationship Status	Self-reported	Has your relationship status changed as a direct result of COVID-19 related isolation measures?		SNOMEDCT:365581002;SNOMEDCT:186747009	hybrid_search	UMLS:C5419662	Unknown Status Due to COVID-19-Related Travel Restrictions	biolink:PhenotypicFeature		1	rank:7|MONDO:0100096|SNOMEDCT:840539006	medium-high	
Marital / Relationship Status	Self-reported	Has your relationship status changes in the last 6 months?		SNOMEDCT:365581002;SNOMEDCT:186747009	hybrid_search	NCIT:C157435	Mental Status Change	biolink:DiseaseOrPhenotypicFeature		0		medium-high	
Marital / Relationship Status	Self-reported	What is your relationship status?		SNOMEDCT:365581002;SNOMEDCT:186747009	hybrid_search	UMLS:C5203912	What is the Other Performance Status Scale: Timing	biolink:Publication		0		low	
Marital / Relationship Status	Self-reported	Are you currently living with a spouse or partner		SNOMEDCT:38070000;SNOMEDCT:224130005	hybrid_search	UMLS:C5238783	Lives with Partner or Spouse	biolink:PhenotypicFeature		0		medium-high	
Marital / Relationship Status	Self-reported	What is your marital status?	P002888		hybrid_search	UMLS:C0024819	Marital Status	biolink:PhenotypicFeature	SNOMEDCT:125680007	1	rank:1|UMLS:C0024819|SNOMEDCT:125680007	medium-high	
Employment Status	Self-reported	What best describes your main occupation throughout most of your life?		SNOMEDCT:14679004;SNOMEDCT:6300007;SNOMEDCT:15188001;SNOMEDCT:252577008	hybrid_search	UMLS:C3828936	MSQOL-54 - Describe How You Feel About Your Life	biolink:Publication		0		low	
Employment Status	Self-reported	Do you currently work? Full-time or part-time		SNOMEDCT:224362002	hybrid_search	UMLS:C4724936	Working Full Time Hours	biolink:PhenotypicFeature		1	rank:3|UMLS:C0682295|SNOMEDCT:160903007	medium-high	
Employment Status	Self-reported	Which one of these best describes your current working situation? Select one only. If you are doing more than one of these, please choose the one you spend the most time doing.		SNOMEDCT:224362002	hybrid_search	UMLS:C3828954	Most of the time	biolink:PhenotypicFeature	SNOMEDCT:444961000124103	1	rank:6|UMLS:C3828954|SNOMEDCT:444961000124103	medium-high	
Employment Status	Self-reported	Have you ever been in paid employment or self-employment, full or part-time?		SNOMEDCT:364703007	hybrid_search	UMLS:C4316659	Self-employed paid work	biolink:PhenotypicFeature	SNOMEDCT:452101000124107	4	rank:1|UMLS:C4316659|SNOMEDCT:452101000124107	medium-high	
Employment Status	Self-reported	What is your present occupation?		SNOMEDCT:364703007	hybrid_search	UMLS:C5204542	Chemical/Occupational Exposure Present	biolink:PhenotypicFeature		0		medium-high	
Employment Status	Self-reported	Which of the following describes your current employment status?		SNOMEDCT:364703007	hybrid_search	EFO:0005241	employment status	biolink:PhenotypicFeature	SNOMEDCT:224362002	1	rank:3|EFO:0005241|SNOMEDCT:224362002	medium-high	
Employment Status	Self-reported	Which of the following describes your paid work activity last week?		SNOMEDCT:364703007	hybrid_search	UMLS:C4316659	Self-employed paid work	biolink:PhenotypicFeature	SNOMEDCT:452101000124107	1	rank:7|UMLS:C4316659|SNOMEDCT:452101000124107	medium-high	
Employment Status	Self-reported	Select the description that best describes the sort of work you do. If you are not working now, please select what you did in your last job.		SNOMEDCT:719701000000106;SNOMEDCT:14679004	hybrid_search	UMLS:C3831503	AQ20 - Chest Problem Make You Breathless at Work	biolink:Publication		0		low	
Income / Deprivation	Self-reported	Please estimate in which band is your total yearly household income before taxes. Includes all those who earn and live in the same household as yourself.		SNOMEDCT:224168007	hybrid_search	UMLS:C0557163	Household income	biolink:PhenotypicFeature	SNOMEDCT:224168007	1	rank:1|UMLS:C0557163|SNOMEDCT:224168007	medium-high	
Income / Deprivation	Self-reported	Please indicate in which band is your total yearly household income before taxes. (This includes all those who earn and live in the same household as yourself.)		SNOMEDCT:224168007	hybrid_search	UMLS:C0557163	Household income	biolink:PhenotypicFeature	SNOMEDCT:224168007	1	rank:1|UMLS:C0557163|SNOMEDCT:224168007	medium-high	
Income / Deprivation	Self-reported	What is the yearly total income before tax received by your household?		SNOMEDCT:224168007	hybrid_search	UMLS:C4034529	Total combined household income range in last year	biolink:PhenotypicFeature		1	rank:7|UMLS:C0557163|SNOMEDCT:224168007	medium-high	
Income / Deprivation	Self-reported	What was yearly total income before tax received by your family (household) during your childhood?		SNOMEDCT:224168007	hybrid_search	UMLS:C4745106	Secondhand Smoke Exposure in Household during Childhood	biolink:PhenotypicFeature		1	rank:8|UMLS:C0557163|SNOMEDCT:224168007	medium-high	
Income / Deprivation	Self-reported	What are your normal earnings in your job before any taxes and other deductions?		SNOMEDCT:365552003;SNOMEDCT:224168007	hybrid_search	UMLS:C1456713	Talking With Your Doctor	biolink:Behavior		0		medium-high	
Income / Deprivation	Other dataset	Other Datasets: DS00050: Index of Multiple Deprivation		SNOMEDCT:386409003	hybrid_search	UMLS:C0036674	Sensory Deprivation	biolink:PhenotypicFeature	SNOMEDCT:29903003	2	rank:4|UMLS:C0036674|SNOMEDCT:29903003	medium-high	
Height (Measured)	Measurements	Measured standing height at examination		SNOMEDCT:50373000;SNOMEDCT:248333004	hybrid_search	UMLS:C0424639	Height / growth measure	biolink:PhenotypicFeature	SNOMEDCT:271603002	2	rank:1|UMLS:C0424639|SNOMEDCT:271603002	medium-high	
Height (Self-reported)	Self-reported	What has been your maximum adult height? (the tallest you have been since turning 18) Centimetres		SNOMEDCT:248333004;SNOMEDCT:1153637007	hybrid_search	UMLS:C3829749	Have You Been Bothered By Nervousness or Your Nerves	biolink:Publication		0		low	
Height (Self-reported)	Self-reported	What is your current height? (Only one measurement type is required) \ Don't know		SNOMEDCT:50373000;SNOMEDCT:248333004	hybrid_search	UMLS:C1880386	Don't know	biolink:PhenotypicFeature	SNOMEDCT:456791000124100	1	rank:1|UMLS:C1880386|SNOMEDCT:456791000124100	medium-high	
Height (Self-reported)	Self-reported	What is your current height? (Only one measurement type is required) \ feet		SNOMEDCT:50373000;SNOMEDCT:248333004	hybrid_search	UMLS:C3639491	MMSE - What Is the Year	biolink:Publication		0		low	
Height (Self-reported)	Self-reported	What is your current height? (Only one measurement type is required) \ inches		SNOMEDCT:50373000;SNOMEDCT:248333004	hybrid_search	UMLS:C3639491	MMSE - What Is the Year	biolink:Publication		0		low	
Height (Self-reported)	Self-reported	What is your current height? \ centimetres		SNOMEDCT:50373000;SNOMEDCT:248333004	hybrid_search	UMLS:C0587053	Normal height	biolink:PhenotypicFeature	SNOMEDCT:309534003	1	rank:10|UMLS:C0587053|SNOMEDCT:309534003	medium-high	
Weight (Measured)	Measurements	Measured weight at examination		SNOMEDCT:363808001;SNOMEDCT:27113001	hybrid_search	UMLS:C5667350	Weight at Diagnosis	biolink:PhenotypicFeature		2	rank:8|HP:0004324|SNOMEDCT:161831008;SNOMEDCT:816159004;SNOMEDCT:8943002;SNOMEDCT:262286000	medium-high	
Weight (Self-reported)	Self-reported	What has been your maximum adult weight? (the most you have weighed since turning 18, not including pregnancy ) Kilograms		SNOMEDCT:363808001;SNOMEDCT:27113001;SNOMEDCT:852321000000100	hybrid_search	UMLS:C4288979	Have Not Smoked Since Diagnosis	biolink:PhenotypicFeature		0		medium-high	
Weight (Self-reported)	Self-reported	What has been your maximum lifetime weight, excluding pregnancy? \ Kilograms		SNOMEDCT:363808001;SNOMEDCT:27113001;SNOMEDCT:852321000000100	hybrid_search	UMLS:C4528139	Weight Loss Greater Than Three Kilograms	biolink:PhenotypicFeature		2	rank:4|NCIT:C112849|SNOMEDCT:28701003	medium-high	
Weight (Self-reported)	Self-reported	What has been your minimum adult weight (i.e. your lowest weight since age 18)? \ Kilograms		SNOMEDCT:363808001;SNOMEDCT:27113001;SNOMEDCT:852311000000106	hybrid_search	EFO:0004338	body weight	biolink:PhenotypicFeature	SNOMEDCT:27113001	6	rank:1|EFO:0004338|SNOMEDCT:27113001	medium-high	
Weight (Self-reported)	Self-reported	What is your current weight? (Only one measurement type is required) \ Don't know		SNOMEDCT:363808001;SNOMEDCT:27113001	hybrid_search	UMLS:C1880386	Don't know	biolink:PhenotypicFeature	SNOMEDCT:456791000124100	1	rank:1|UMLS:C1880386|SNOMEDCT:456791000124100	medium-high	
Weight (Self-reported)	Self-reported	What is your current weight? (Only one measurement type is required) \ pounds		SNOMEDCT:363808001;SNOMEDCT:27113001	hybrid_search	UMLS:C3639491	MMSE - What Is the Year	biolink:Publication		0		low	
Weight (Self-reported)	Self-reported	What is your current weight? (Only one measurement type is required) \ stones		SNOMEDCT:363808001;SNOMEDCT:27113001	hybrid_search	UMLS:C3639491	MMSE - What Is the Year	biolink:Publication		0		low	
Weight (Self-reported)	Self-reported	What is your current weight? \ kilograms		SNOMEDCT:363808001;SNOMEDCT:27113001	hybrid_search	UMLS:C5667349	Weight In Kilograms at Time of Evaluation	biolink:PhenotypicFeature		0		medium-high	
BMI	Measurements	DEXA: Total body mass divided by height squared (BMI)		SNOMEDCT:241686001	hybrid_search	EFO:0005851	height-adjusted body mass index	biolink:PhenotypicFeature		1	rank:9|EFO:0004340|SNOMEDCT:60621009	medium-high	
Waist Circumference	Self-reported	What is your current waist measurement? (Please measure around your body, just above your belly button. Note this is not necessarily your trouser size)/ centimetres		SNOMEDCT:276361009	hybrid_search	UMLS:C1456713	Talking With Your Doctor	biolink:Behavior		0		medium-high	
Waist Circumference	Measurements	Measured waist circumference		SNOMEDCT:445396007	hybrid_search	EFO:0007789	BMI-adjusted waist circumference	biolink:PhenotypicFeature		0		medium-high	
Hip Circumference	Measurements	Measured hip circumference		SNOMEDCT:284472007	hybrid_search	EFO:0008039	BMI-adjusted hip circumference	biolink:PhenotypicFeature		1	rank:3|EFO:0005093|SNOMEDCT:284472007	medium-high	
Blood Pressure	Measurements	Diastolic blood pressure third measurement		SNOMEDCT:163035008;SNOMEDCT:75367002	hybrid_search	HP:0500104	Decreased diastolic blood pressure	biolink:DiseaseOrPhenotypicFeature	SNOMEDCT:42689008	2	rank:1|HP:0500104|SNOMEDCT:42689008	medium-high	
Blood Pressure	Measurements	Systolic blood pressure first measurement		SNOMEDCT:163035008;SNOMEDCT:75367002	hybrid_search	EFO:0006944	systolic blood pressure change measurement	biolink:PhenotypicFeature		4	rank:5|NCIT:C54707|SNOMEDCT:392570002	medium-high	
Blood Pressure	Measurements	Diastolic blood pressure		SNOMEDCT:75367002;SNOMEDCT:163035008	hybrid_search	EFO:0006336	diastolic blood pressure	biolink:PhenotypicFeature	SNOMEDCT:271650006	3	rank:1|EFO:0006336|SNOMEDCT:271650006	medium-high	
Blood Pressure	Measurements	Diastolic blood pressure (repeat measurement)		SNOMEDCT:75367002;SNOMEDCT:163035008	hybrid_search	EFO:0006944	systolic blood pressure change measurement	biolink:PhenotypicFeature		3	rank:4|EFO:0006336|SNOMEDCT:271650006	medium-high	
Blood Pressure	Measurements	Diastolic blood pressure first measurement		SNOMEDCT:75367002;SNOMEDCT:163035008	hybrid_search	EFO:0006944	systolic blood pressure change measurement	biolink:PhenotypicFeature		3	rank:3|EFO:0006336|SNOMEDCT:271650006	medium-high	
Blood Pressure	Measurements	Diastolic blood pressure second measurement		SNOMEDCT:75367002;SNOMEDCT:163035008	hybrid_search	EFO:0006945	diastolic blood pressure change measurement	biolink:PhenotypicFeature		2	rank:7|HP:0500104|SNOMEDCT:42689008	medium-high	
Blood Pressure	Measurements	Systolic blood pressure		SNOMEDCT:75367002;SNOMEDCT:163035008	hybrid_search	EFO:0006335	systolic blood pressure	biolink:PhenotypicFeature	SNOMEDCT:271649006	4	rank:1|EFO:0006335|SNOMEDCT:271649006	medium-high	
Blood Pressure	Measurements	Systolic blood pressure (repeat measurement)		SNOMEDCT:75367002;SNOMEDCT:163035008	hybrid_search	HP:0500105	Decreased systolic blood pressure	biolink:DiseaseOrPhenotypicFeature	SNOMEDCT:81010002	2	rank:1|HP:0500105|SNOMEDCT:81010002	medium-high	
Blood Pressure	Measurements	Systolic blood pressure second measurement		SNOMEDCT:75367002;SNOMEDCT:163035008	hybrid_search	EFO:0006945	diastolic blood pressure change measurement	biolink:PhenotypicFeature		0		medium-high	
Blood Pressure	Measurements	Systolic blood pressure third measurement		SNOMEDCT:75367002;SNOMEDCT:163035008	hybrid_search	HP:0500105	Decreased systolic blood pressure	biolink:DiseaseOrPhenotypicFeature	SNOMEDCT:81010002	2	rank:1|HP:0500105|SNOMEDCT:81010002	medium-high	
Birth Country / Place of Birth	Self-reported	What country were you born in?		SNOMEDCT:315354004;SNOMEDCT:366344009	hybrid_search	UMLS:C0454664	Country	biolink:GeographicLocation		0		medium-high	
Birth Country / Place of Birth	Self-reported	Were you born in the British Isles?		SNOMEDCT:315354004;SNOMEDCT:370159000	hybrid_search	MONDO:0017572	tick-borne encephalitis	biolink:Disease	SNOMEDCT:414093008;SNOMEDCT:186591007;SNOMEDCT:415821008;SNOMEDCT:16901001	1	rank:6|MONDO:0017572|SNOMEDCT:414093008;SNOMEDCT:186591007;SNOMEDCT:415821008;SNOMEDCT:16901001	medium	
Birth Country / Place of Birth	Self-reported	Were you born in the United Kingdom?		SNOMEDCT:366344009;SNOMEDCT:315354004	hybrid_search	UMLS:C0041700	United Kingdom	biolink:GeographicLocation		1	rank:9|MONDO:0017572|SNOMEDCT:414093008;SNOMEDCT:186591007;SNOMEDCT:415821008;SNOMEDCT:16901001	medium-high	
Birth Country / Place of Birth	Self-reported	Country of birth	P001754		hybrid_search	UMLS:C1300001	Country of birth (finding)	biolink:PhenotypicFeature	SNOMEDCT:276205001;SNOMEDCT:315354004;SNOMEDCT:370159000	3	rank:2|UMLS:C1300001|SNOMEDCT:276205001;SNOMEDCT:315354004;SNOMEDCT:370159000	medium-high	
Birth Country / Place of Birth	Self-reported	Town of birth	P001753		hybrid_search	HP:0001622	Premature birth	biolink:DiseaseOrPhenotypicFeature	SNOMEDCT:367494004;SNOMEDCT:49550006;SNOMEDCT:282020008	3	rank:1|HP:0001622|SNOMEDCT:367494004;SNOMEDCT:49550006;SNOMEDCT:282020008	medium-high	
Birth Country / Place of Birth	Self-reported	Where were you born?	P002886		hybrid_search	UMLS:C3166752	Where were you born	biolink:Publication		0		low	
Birth Weight	Self-reported	What was your twin's weight at birth? \ kilograms		SNOMEDCT:364589006;SNOMEDCT:147092001;SNOMEDCT:28030000	hybrid_search	EFO:0004344	birth weight	biolink:PhenotypicFeature	SNOMEDCT:47340003;SNOMEDCT:364589006	3	rank:1|EFO:0004344|SNOMEDCT:47340003;SNOMEDCT:364589006	medium-high	
Birth Weight	Self-reported	What was your weight at birth? \ don't know		SNOMEDCT:47340003;SNOMEDCT:364589006	hybrid_search	EFO:0004344	birth weight	biolink:PhenotypicFeature	SNOMEDCT:47340003;SNOMEDCT:364589006	2	rank:1|EFO:0004344|SNOMEDCT:47340003;SNOMEDCT:364589006	medium-high	
Birth Weight	Self-reported	What was your weight at birth? \ grams		SNOMEDCT:47340003;SNOMEDCT:364589006	hybrid_search	EFO:0004344	birth weight	biolink:PhenotypicFeature	SNOMEDCT:47340003;SNOMEDCT:364589006	4	rank:1|EFO:0004344|SNOMEDCT:47340003;SNOMEDCT:364589006	medium-high	
